"fromName","fromAbb","fromISO"
"Antigua & Barbuda","AAB","ATG"
"Afghanistan","AFG","AFG"
"Albania","ALB","ALB"
"Algeria","ALG","DZA"
"Andorra","AND","AND"
"Angola","ANG","AGO"
"Argentina","ARG","ARG"
"Armenia","ARM","ARM"
"Austria-Hungary","AUH","AUT"
"Australia","AUL","AUS"
"Austria","AUS","AUT"
"Azerbaijan","AZE","AZE"
"Baden","BAD","BAD"
"Bahrain","BAH","BHR"
"Barbados","BAR","BRB"
"Bavaria","BAV","BAV"
"Belgium","BEL","BEL"
"Benin","BEN","BEN"
"Burkina Faso","BFO","BFA"
"Bahamas","BHM","BHS"
"Belarus","BLR","BLR"
"Belize","BLZ","BLZ"
"Bangladesh","BNG","BGD"
"Bolivia","BOL","BOL"
"Bosnia and Herzegovina","BOS","BIH"
"Botswana","BOT","BWA"
"Brazil","BRA","BRA"
"Brunei","BRU","BRN"
"Burundi","BUI","BDI"
"Bulgaria","BUL","BGR"
"Cambodia","CAM","KHM"
"Canada","CAN","CAN"
"Cameroon","CAO","CMR"
"Cape Verde","CAP","CPV"
"Ivory Coast","CDI","CIV"
"Central African Republic","CEN","CAF"
"Chad","CHA","TCD"
"Chile","CHL","CHL"
"China","CHN","CHN"
"Colombia","COL","COL"
"Comoros","COM","COM"
"Congo","CON","COG"
"Costa Rica","COS","CRI"
"Croatia","CRO","HRV"
"Cuba","CUB","CUB"
"Cyprus","CYP","CYP"
"Czechoslovakia","CZE","CZS"
"Czech Republic","CZR","CZE"
"Denmark","DEN","DNK"
"Djibouti","DJI","DJI"
"Dominica","DMA","DMA"
"Dominican Republic","DOM","DOM"
"Democratic Republic of the Congo","DRC","COD"
"Vietnam","DRV","VNM"
"Ecuador","ECU","ECU"
"Egypt","EGY","EGY"
"Equatorial Guinea","EQG","GNQ"
"Eritrea","ERI","ERI"
"Estonia","EST","EST"
"Ethiopia","ETH","ETH"
"East Timor","ETM","TLS"
"Finland","FIN","FIN"
"France","FRN","FRA"
"Gabon","GAB","GAB"
"Gambia","GAM","GMB"
"German Democratic Republic","GDR","GDR"
"German Federal Republic","GFR","GFR"
"Ghana","GHA","GHA"
"Germany","GMY","DEU"
"Guinea-Bissau","GNB","GNB"
"Greece","GRC","GRC"
"Georgia","GRG","GEO"
"Grenada","GRN","GRD"
"Guatemala","GUA","GTM"
"Guinea","GUI","GIN"
"Guyana","GUY","GUY"
"Haiti","HAI","HTI"
"Hanover","HAN","HAN"
"Honduras","HON","HND"
"Hesse Electoral","HSE","HSE"
"Hesse Grand Ducal","HSG","HSG"
"Hungary","HUN","HUN"
"Iceland","ICE","ISL"
"India","IND","IND"
"Indonesia","INS","IDN"
"Ireland","IRE","IRL"
"Iran","IRN","IRN"
"Iraq","IRQ","IRQ"
"Israel","ISR","ISR"
"Italy","ITA","ITA"
"Jamaica","JAM","JAM"
"Jordan","JOR","JOR"
"Japan","JPN","JPN"
"Kenya","KEN","KEN"
"Korea","KOR","KOR"
"Kuwait","KUW","KWT"
"Kyrgyzstan","KYR","KGZ"
"Kazakhstan","KZK","KAZ"
"Laos","LAO","LAO"
"Latvia","LAT","LVA"
"Liberia","LBR","LBR"
"Lebanon","LEB","LBN"
"Lesotho","LES","LSO"
"Libya","LIB","LBY"
"Liechtenstein","LIE","LIE"
"Lithuania","LIT","LTU"
"Luxembourg","LUX","LUX"
"Mauritania","MAA","MRT"
"Macedonia","MAC","MKD"
"Madagascar","MAG","MDG"
"Malaysia","MAL","MYS"
"Mauritius","MAS","MUS"
"Malawi","MAW","MWI"
"Mecklenburg Schwerin","MEC","MEC"
"Mexico","MEX","MEX"
"Moldova","MLD","MDA"
"Mali","MLI","MLI"
"Malta","MLT","MLT"
"Monaco","MNC","MNC"
"Montenegro","MNG","MNE"
"Mongolia","MON","MNG"
"Morocco","MOR","MAR"
"Myanmar","MYA","MMR"
"Mozambique","MZM","MOZ"
"Namibia","NAM","NAM"
"Nicaragua","NIC","NIC"
"Nigeria","NIG","NGR"
"Niger","NIR","NER"
"Norway","NOR","NOR"
"Netherlands","NTH","NLD"
"Pakistan","PAK","PAK"
"Panama","PAN","PAN"
"Paraguay","PAR","PRY"
"Peru","PER","PER"
"Philippines","PHI","PHL"
"Papua New Guinea","PNG","PNG"
"Poland","POL","POL"
"Portugal","POR","PRT"
"North Korea","PRK","PRK"
"Qatar","QAT","QAT"
"South Korea","ROK","KOR"
"Romania","ROM","ROM"
"Russia","RUS","RUS"
"Rwanda","RWA","RWA"
"South Africa","SAF","ZAF"
"El Salvador","SAL","SLV"
"Saudi Arabia","SAU","SAU"
"Saxony","SAX","SAX"
"Senegal","SEN","SEN"
"Seychelles","SEY","SYC"
"Sierra Leone","SIE","SLE"
"Singapore","SIN","SGP"
"St. Kitts and Nevis","SKN","KNA"
"Slovakia","SLO","SVK"
"St. Lucia","SLU","LCA"
"Slovenia","SLV","SVN"
"San Marino","SNM","SMR"
"Somalia","SOM","SOM"
"Spain","SPN","ESP"
"Sri Lanka","SRI","LKA"
"South Sudan","SSD","SSD"
"Sao Tome and Principe","STP","STP"
"Sudan","SUD","SDN"
"Suriname","SUR","SUR"
"St. Vincent and the Grenadines","SVG","VCT"
"Swaziland","SWA","SWA"
"Sweden","SWD","SWE"
"Switzerland","SWZ","CHE"
"Syria","SYR","SYR"
"Tajikistan","TAJ","TJK"
"Taiwan","TAW","TAW"
"Tanzania","TAZ","TZA"
"Thailand","THI","THA"
"Turkmenistan","TKM","TKM"
"Togo","TOG","TGO"
"Trinidad and Tobago","TRI","TTO"
"Tunisia","TUN","TUN"
"Turkey","TUR","TUR"
"United Arab Emirates","UAE","ARE"
"Uganda","UGA","UGA"
"United Kingdom","UKG","GBR"
"Ukraine","UKR","UKR"
"Uruguay","URU","URY"
"United States of America","USA","USA"
"Uzbekistan","UZB","UZB"
"Venezuela","VEN","VEN"
"Wuerttemburg","WRT","WRT"
"Yemen Arab Republic","YAR","YEM"
"Yemen","YEM","YEM"
"Yemen People's Republic","YPR","YEM"
"Yugoslavia","YUG","YUG"
"Zambia","ZAM","ZMB"
"Zimbabwe","ZIM","ZWE"
